# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 3 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-52194
# Timestamp: Mon, 30-Aug-2021 13:20:31
Gene ID	Gene Name	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal' .foldChange	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'.pValue	'non-triple-negative breast cancer; breast carcinoma' vs 'normal' .foldChange	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'.pValue	'triple-negative breast cancer; breast carcinoma' vs 'normal' .foldChange	'triple-negative breast cancer; breast carcinoma' vs 'normal'.pValue
ENSG00000002330	BAD	-1.1	0.0638845849082878	-0.4	0.291870591766182	-1.3	0.00809941789921622
ENSG00000002549	LAP3	-0.1	0.836164093289057			0.7	0.12162327756601
ENSG00000002586	CD99	-0.9	0.111372580757642	-0.8	0.14678129109364	-0.3	0.542729817437419
ENSG00000002587	HS3ST1	0.2	0.790808911615461	-0.4	0.557158700758868	0.1	0.799956711974574
ENSG00000002726	AOC1	1.2	0.205870609017431			2.8	3.29499535071491E-4
ENSG00000002745	WNT16	1.7	0.175479186923297	1.4	0.185536515542912	2.2	0.0438877169582393
ENSG00000002746	HECW1	-0.3	0.75996698446173	1.5	0.0071967900524322	2.5	2.58661422961688E-4
ENSG00000002822	MAD1L1	-0.2	0.725990464299533	-0.3	0.308201921706229	-0.2	0.621479475310041
ENSG00000002834	LASP1	1.1	0.25675957240681	-0.6	0.158724729272527	-0.5	0.404697966520799
ENSG00000002919	SNX11	0.3	0.653517475667181	0.6	0.138979409641618		
ENSG00000002933	TMEM176A	-1.0	0.00989054341208077	-1.0	0.0952614959249844	-1.1	0.00406416090989472
ENSG00000003056	M6PR	-0.1	0.897021813212335	-0.2	0.392948429481687		
ENSG00000003096	KLHL13	-2.3	9.5912686971247E-4	-2.7	6.8376222962132E-9	-2.1	9.36471195898209E-4
ENSG00000003137	CYP26B1			-1.2	0.0438842780662168	0.6	0.388710658298624
ENSG00000003147	ICA1	-0.5	0.497027890336798	-0.2	0.498365835259791	-2.0	6.67748951604341E-13
ENSG00000003249	DBNDD1	-0.2	0.831811927989305	-1.0	0.0160636817741937	-0.2	0.728711798132817
ENSG00000003393	ALS2	0.9	0.0314342712449899	0.6	0.0864697969110774	0.4	0.34068793581407
ENSG00000003400	CASP10	1.1	0.0228203810095126	-0.1	0.770305065861935	0.6	0.211832032110068
ENSG00000003402	CFLAR	-0.9	0.145257473908261	-1.5	6.07392028269081E-4	-1.3	0.00399720836888508
ENSG00000003436	TFPI	-1.0	0.207796990058238	-2.1	1.14080824253373E-5	-1.8	0.00731712811859998
ENSG00000003509	NDUFAF7	1.0	0.0245466313574854	0.6	0.116152032052635	0.3	0.338206799004976
ENSG00000003756	RBM5	0.2	0.654003619937745	-0.2	0.73315740248841	-0.6	0.0865687879420404
ENSG00000003987	MTMR7	2.2	3.62115266108744E-4	3.5	1.90365114067534E-9	1.0	0.121674446407469
ENSG00000003989	SLC7A2	-2.8	8.5336092574453E-4	0.2	0.656835980948722	-4.9	1.44358921418007E-29
ENSG00000004059	ARF5	-0.9	0.0863363891226263	-0.3	0.456614716006787	-0.3	0.505750502973107
ENSG00000004139	SARM1	0.5	0.535258221623707	0.5	0.33546151864667	0.3	0.751386002342955
ENSG00000004142	POLDIP2	0.5	0.360680014781436	0.3	0.512713594418279	0.3	0.542605545430966
ENSG00000004399	PLXND1	0.5	0.311566248706334	-0.4	0.470907358458777	-0.6	0.0743427541726285
ENSG00000004455	AK2	0.2	0.79799108822106			0.2	0.634853355200618
ENSG00000004468	CD38	4.7	4.86286557032993E-10	2.3	2.1144295097844E-4	3.6	3.04393994804609E-11
ENSG00000004478	FKBP4	-1.4	0.0070361849135127	-0.6	0.383524590673558	-1.3	0.00429566794949937
ENSG00000004487	KDM1A			-0.6	0.0645485410002226	-0.3	0.434491885561171
ENSG00000004534	RBM6	-0.5	0.25778295286341	-0.6	0.0330180931368101	-0.9	0.007471643999507
ENSG00000004660	CAMKK1	-0.6	0.340835894063788	0.2	0.706169247528374	-0.3	0.534029280142622
ENSG00000004700	RECQL	0.7	0.0234894130244673	0.6	0.0929615832469901	0.9	0.0199497426121962
ENSG00000004766	VPS50	1.8	2.05012235985466E-5	1.5	0.00236747809413628	0.9	0.016136887972927
ENSG00000004776	HSPB6	-4.6	1.97248090067624E-12	-3.8	2.38997901048484E-6	-3.7	5.18864952746375E-9
ENSG00000004777	ARHGAP33	-2.8	1.67671106419067E-5	-1.8	4.42374793042815E-6	-1.8	4.20063378176683E-5
ENSG00000004779	NDUFAB1	0.6	0.204707908309605	1.1	0.0202045928504579	0.4	0.313674954806512
ENSG00000004799	PDK4	-3.0	1.90564399551837E-4	-4.0	2.48983701306696E-13	-4.4	3.01775090356659E-22
ENSG00000004809	SLC22A16	-1.0	0.395777986020225	-0.8	0.364157065499698	1.1	0.218683638402729
ENSG00000004838	ZMYND10	-1.2	0.18760299732377	1.8	0.00284405116502073	-0.7	0.283290362151078
ENSG00000004846	ABCB5	-0.2	0.8945924634839	0.4	0.671476884029955	0.6	0.485403702626289
ENSG00000004848	ARX	2.9	0.0443739539082615	3.7	0.00110307313555466	1.8	0.283557122833631
ENSG00000004864	SLC25A13	2.2	3.37305528860218E-9	0.9	0.033510870413873	1.2	9.91600394592881E-5
ENSG00000004866	ST7	-0.5	0.204304090769758	-0.8	0.0313684660542419	-1.0	0.00685974017809701
ENSG00000004897	CDC27	-0.2	0.57147664148754	-0.2	0.427359675414706	-0.3	0.385651011876476
ENSG00000004939	SLC4A1	0.6	0.76077548282074	3.6	6.7124987006983E-6	4.2	3.03556048998242E-6
ENSG00000004948	CALCR	1.1	0.503088450281157	0.7	0.383044869710049	0.7	0.484637916528699
ENSG00000004961	HCCS	-1.4	0.00468162929832505	-1.6	1.41890520693393E-5	-1.0	0.0314025649168555
ENSG00000004975	DVL2	-2.2	9.34464361996599E-6	-2.5	2.34567654265032E-12	-2.2	5.99614165286355E-11
ENSG00000005001	PRSS22			-3.0	5.66585093625706E-10	-3.3	3.03793238051534E-8
ENSG00000005007	UPF1	-0.5	0.284506272180092	-0.6	0.193091423779246	-0.8	0.0434284001981337
ENSG00000005020	SKAP2	-0.7	0.114891812131451	-1.1	0.0273842780196824	-0.7	0.0311190345314779
ENSG00000005022	SLC25A5	-1.1	0.00414565367089441	-1.4	2.65632377396856E-4	-1.7	2.49856584480903E-6
ENSG00000005059	MCUB	0.9	0.0469329536723042	0.6	0.134071674261894	1.4	8.77612729964976E-6
ENSG00000005073	HOXA11	2.1	0.20082896563964	1.4	0.219636498602464	3.6	0.00187871180042511
ENSG00000005075	POLR2J	0.1	0.847098057299542	0.8	0.104028441513877	0.6	0.287548061274829
ENSG00000005100	DHX33	-0.1	0.94052815329017	-1.2	0.0148828966082213	-1.3	5.51014538554503E-4
ENSG00000005102	MEOX1	-2.5	0.00248195857028825	-1.7	8.61943206228141E-4	-2.1	0.00373869311217771
ENSG00000005108	THSD7A	-0.5	0.347156025950334	-0.9	0.0838303317413394	-1.2	0.015191070093727
ENSG00000005156	LIG3	1.2	0.00459718500079569	1.4	9.61334039233679E-4	0.5	0.0807624337664515
ENSG00000005175	RPAP3	0.6	0.181843928297868	0.3	0.364343444532618	0.1	0.868050574671722
ENSG00000005187	ACSM3	-0.5	0.551910557751192	-1.9	8.39099433104016E-5	-1.0	0.0877115492839474
ENSG00000005189	REXO5	0.2	0.782709572317078	0.3	0.594905849461868		
ENSG00000005194	CIAPIN1	0.8	0.0404059174634977	0.1	0.8331619579948	0.8	0.0456462903651116
ENSG00000005206	SPPL2B	-1.5	0.00162694849976232	-1.1	0.00300573580690571	-1.8	1.23201347885428E-5
ENSG00000005238	FAM214B	0.2	0.66145954836657	0.1	0.858473788220009	0.5	0.121726722345685
ENSG00000005243	COPZ2	-0.9	0.357652496081201	0.7	0.206067268762283	1.2	0.0203529080141011
ENSG00000005249	PRKAR2B	0.9	0.198242403690418	1.3	0.0212994973268273	0.8	0.0960282702729994
ENSG00000005302	MSL3	0.9	0.0326425766070857	-0.1	0.88827027481533	0.8	0.0539138767607445
ENSG00000005339	CREBBP	-0.8	0.0861484320113901	-1.2	0.0105748882938671	-1.6	4.00510390776787E-5
ENSG00000005379	TSPOAP1	-1.0	0.115656054806989	-0.5	0.327453650297236	-1.1	0.00989020709904339
ENSG00000005381	MPO	-1.9	0.166274120980189	1.1	0.119674836961573	1.5	0.0390092688050285
ENSG00000005421	PON1	2.1	0.147122504876699	0.9	0.335758141669901	1.3	0.193056937091075
ENSG00000005436	GCFC2	0.5	0.103094079912264	0.2	0.558602786302633	0.2	0.557825006421561
ENSG00000005448	WDR54	-1.2	0.0245466313574854	0.3	0.526455682810757	-0.8	0.122944324552907
ENSG00000005469	CROT			2.0	0.00740242366540753	-0.4	0.44989852427737
ENSG00000005471	ABCB4	1.4	0.142073113490986	0.8	0.248898178517102	1.0	0.209337546187759
ENSG00000005483	KMT2E	-0.8	0.224928040419065	-2.0	6.53255109426092E-6	-2.3	1.49623849420292E-6
ENSG00000005486	RHBDD2	-0.9	0.23460239256059	-0.9	0.113093696165461	-1.4	0.00197150228495273
ENSG00000005513	SOX8			-5.3	7.46830232851274E-19	-0.7	0.471388664033785
ENSG00000005700	IBTK	0.8	0.0555025828931525	0.6	0.125672727224677	0.4	0.354208860580234
ENSG00000005801	ZNF195	0.9	0.00721672650924448	0.1	0.874248961823481	-0.4	0.203989567221396
ENSG00000005810	MYCBP2	1.6	0.00150649663270168	0.3	0.514768303884882	0.5	0.430156082181503
ENSG00000005812	FBXL3	-0.4	0.501943086606171	-0.3	0.530285767875584	-0.4	0.39754072920951
ENSG00000005844	ITGAL	2.4	7.90123532202714E-5	1.5	1.76462118550446E-5	2.2	4.28468621292581E-9
ENSG00000005882	PDK2			0.4	0.236295791510625	-0.8	0.0617079523960656
ENSG00000005884	ITGA3	-1.0	0.191717536836725	-1.1	0.00244283707133116	-1.9	2.83530869546425E-10
ENSG00000005889	ZFX	0.9	0.0555666620365031	1.0	0.0792037618211557		
ENSG00000005893	LAMP2	-0.7	0.0986019195675019	-0.8	0.0215014688609464	-0.9	0.0306050661421341
ENSG00000005961	ITGA2B	-1.2	0.229666972098759	0.4	0.462463450497953	0.8	0.221120563348776
ENSG00000005981	ASB4	0.3	0.89064838897623	0.4	0.692980449282597	1.7	0.0722431619310581
ENSG00000006007	GDE1	-0.3	0.675528921096926	-0.1	0.851068410378234	-1.1	6.24281308660453E-5
ENSG00000006015	REX1BD	-1.0	0.0984231072854941	-0.2	0.82182785245512	-0.9	0.0616173397470189
ENSG00000006016	CRLF1	-1.7	0.0035194281487779	-2.5	1.43090958801574E-7	1.4	0.281495894107665
ENSG00000006025	OSBPL7	-0.4	0.465606321267726	0.1	0.75572598611676	-0.5	0.206456705522779
ENSG00000006042	TMEM98	-1.2	0.129425558651053	-1.3	0.0140474229496943	-0.9	0.0721959139957626
ENSG00000006047	YBX2	-0.1	0.901359535602423	-0.5	0.414426912397067	-0.2	0.679320219848423
ENSG00000006059	KRT33A			1.8	0.140370413985398	2.9	0.0181426074338633
ENSG00000006062	MAP3K14	-1.3	2.3421594800318E-4	-1.5	1.76906910596085E-6	-1.4	0.00294240718955488
ENSG00000006071	ABCC8	-4.8	1.41626996554255E-13	-1.3	0.052060825393482	-1.6	0.00828467698830039
ENSG00000006116	CACNG3			4.6	5.76378007688732E-4	5.9	2.12060971399993E-5
ENSG00000006118	TMEM132A	1.2	0.238906463961057	0.4	0.482325503260978	0.3	0.587505593343403
ENSG00000006125	AP2B1	-0.7	0.0597949960938406	0.1	0.803755685922641	-0.4	0.448896744063914
ENSG00000006128	TAC1	-4.6	2.522385667446E-8	-4.3	6.04497063349999E-14	-5.4	9.42789337796495E-15
ENSG00000006194	ZNF263	-1.3	0.00101267025101602	-1.3	0.00232113687816364	-2.0	2.77916932681553E-6
ENSG00000006210	CX3CL1	-4.1	4.44647703098373E-14	-6.1	1.25454097469476E-35	-3.4	8.52993371721314E-8
ENSG00000006282	SPATA20	-0.2	0.841651175907775	-0.9	0.0434822307968841	-2.1	7.38918452909608E-8
ENSG00000006283	CACNA1G	-4.0	8.27053611788349E-7	-2.0	0.00173543610158226	-2.0	4.21062761020746E-4
ENSG00000006327	TNFRSF12A			-3.3	9.9233327172496E-23	-2.4	6.56338695863136E-6
ENSG00000006377	DLX6	1.6	0.348724548514986	1.0	0.399491818755381	3.8	4.2030260780273E-4
ENSG00000006432	MAP3K9	-1.2	0.00841190247045983	-1.4	7.73660365082305E-4	-1.4	1.31872825045657E-4
ENSG00000006451	RALA	0.8	0.0575572029242601	0.7	0.0801055597567592	0.9	0.00597137048620362
ENSG00000006453	BAIAP2L1	-0.5	0.286256957661298	-1.4	0.00223849776755711	-0.9	0.0514001616848187
ENSG00000006459	KDM7A	0.9	0.143985759303954	-0.7	0.251295073274839	-0.6	0.292057210619398
ENSG00000006468	ETV1	-1.5	0.00292859787916728	-1.2	0.00797038658683392	-0.4	0.439131522185195
ENSG00000006530	AGK	1.6	3.30528400255606E-4	0.5	0.167043742222296	0.7	0.0568460143432748
ENSG00000006534	ALDH3B1	0.6	0.251348102337026	1.1	0.0597976674469164	0.7	0.0806163495772963
ENSG00000006555	TTC22	0.3	0.685258498304723	0.5	0.616887357753895	1.4	0.0129090977903083
ENSG00000006576	PHTF2	1.1	0.0103750249461349	0.2	0.633113062972853	0.7	0.0381792248401412
ENSG00000006606	CCL26	-0.4	0.820256810326228	-0.9	0.514020767808865	1.5	0.112962331569556
ENSG00000006607	FARP2	0.4	0.373284628916984	-0.4	0.343249766129144	-0.3	0.471857054451781
ENSG00000006611	USH1C	-1.0	0.492383050211904	1.4	0.0571403757823375	2.2	0.00828467698830039
ENSG00000006625	GGCT	1.7	3.81051770106738E-4	0.8	0.0696365887776265	0.8	0.051668709127863
ENSG00000006634	DBF4	1.6	0.0112881504868531	-0.2	0.529433138517997	0.4	0.441045770477977
ENSG00000006638	TBXA2R	-0.3	0.747196453733283	0.3	0.657109344016445	0.4	0.629661803830582
ENSG00000006652	IFRD1	-2.3	1.85301567831217E-6	-3.2	7.46978878345556E-16	-2.2	1.43608388505283E-6
ENSG00000006659	LGALS14			3.1	0.045197249146223	4.4	0.00504852402690459
ENSG00000006695	COX10	0.5	0.282341189188515	0.1	0.880272254066045		
ENSG00000006704	GTF2IRD1	-0.1	0.855601255274291	-0.2	0.489293785175105	-0.2	0.610499232392783
ENSG00000006712	PAF1	-2.7	4.62060054063169E-11	-1.9	1.33606251880136E-7	-1.8	2.81823952533487E-5
ENSG00000006715	VPS41	0.8	0.0298993171657306	0.5	0.091673602274804	0.2	0.647947221081634
ENSG00000006740	ARHGAP44	-1.3	0.0258804986654827	-2.0	1.10538507355035E-7	-1.4	5.67064705067242E-4
ENSG00000006744	ELAC2	0.1	0.822566767631826	-0.3	0.378192311391131	-0.4	0.309925265974084
ENSG00000006747	SCIN	0.2	0.735699568702578	2.7	4.02060522391659E-4	1.1	0.0559476094088413
ENSG00000006756	ARSD	0.2	0.850240324578515	0.3	0.531116176630116	-0.6	0.124213619547641
ENSG00000006757	PNPLA4	-0.2	0.771251177265243	-0.1	0.922848839599581	-1.4	0.00897497694861189
ENSG00000006788	MYH13	2.0	0.0475350758116822	2.4	0.00292907006134015	2.9	0.0012036757971983
ENSG00000006831	ADIPOR2	-1.1	0.00629333021007987	-0.9	0.026613979991372	-1.2	3.19013139391454E-4
ENSG00000006837	CDKL3	0.6	0.583574189066524	1.2	0.100901418528515	1.1	0.228243543503751
ENSG00000007001	UPP2	0.4	0.770359558830175	0.3	0.72284909382302	1.3	0.259348140381925
ENSG00000007038	PRSS21	-0.5	0.713351480283973				
ENSG00000007047	MARK4	-1.6	0.004864266608654	-1.6	1.11187610722499E-5	-1.9	1.30017200220493E-7
ENSG00000007062	PROM1	0.5	0.651746620626966	-5.5	1.03491795875496E-34	0.1	0.925131762548999
ENSG00000007080	CCDC124	-2.5	1.81805940073346E-10	-2.2	3.74734275563408E-8	-1.9	9.1149345286927E-6
ENSG00000007129	CEACAM21	3.0	0.00200450100591083	3.1	4.49716937409138E-4	3.6	3.89867613738264E-5
ENSG00000007168	PAFAH1B1			-0.3	0.474304082171225	-0.7	0.0251870216491131
ENSG00000007171	NOS2	1.6	0.155503847227265	2.0	0.00414608558966277	3.1	0.00132501098070586
ENSG00000007174	DNAH9	0.4	0.734167582333164	1.2	0.0442237088282357	2.1	0.00664027114711532
ENSG00000007202	KIAA0100	1.7	8.97589817533274E-4	1.1	2.2330901547402E-4	1.1	0.0476341074964384
ENSG00000007216	SLC13A2	-5.7	9.61890928083203E-15	-4.0	4.23252970777817E-25		
ENSG00000007237	AC005747.1	-0.9	0.220656186825029	-0.3	0.728667963140339	-1.1	0.0770016065315262
ENSG00000007255	TRAPPC6A	-0.9	0.15641370646901			-0.7	0.188179027927507
ENSG00000007264	MATK	-0.8	0.355158714556137	-0.6	0.407982837954764	-0.6	0.36137507181391
ENSG00000007306	CEACAM7			2.4	0.0230642633579443	3.5	0.00136210005716619
ENSG00000007312	CD79B	0.2	0.830992896890267	-0.8	0.131604745274852	0.6	0.195484137769119
ENSG00000007314	SCN4A	-4.1	1.77058722137246E-6	-2.4	1.41595185904228E-6	-2.2	3.45994139856884E-4
ENSG00000007341	ST7L			0.3	0.441677928235857	-0.2	0.690640709213039
ENSG00000007350	TKTL1	-0.5	0.724657004386014	0.7	0.419018274224715	2.0	0.0397437571374748
ENSG00000007372	PAX6	1.8	0.141468991910461	2.6	0.00252082272192634	4.5	1.40850895786346E-7
ENSG00000007376	RPUSD1	0.2	0.814492167758775	0.7	0.0857839472987704	0.1	0.792389700889694
ENSG00000007384	RHBDF1	-1.7	2.21664135445279E-5	-1.3	5.99106040816481E-4	-1.8	8.203095098911E-5
ENSG00000007392	LUC7L	-0.8	0.0165256762738218	-0.8	0.0357302611485307	-1.5	8.94542149848821E-7
ENSG00000007402	CACNA2D2	-1.4	0.0522571956667392	1.0	0.246379160245461	-1.5	0.0143903930321202
ENSG00000007516	BAIAP3	-1.9	0.0697949775718387	-1.1	0.0897934601519944	-1.9	0.0180312648981929
ENSG00000007520	TSR3	0.2	0.831103583679849	0.8	0.097469380590262	0.2	0.735365228419924
ENSG00000007541	PIGQ	-0.5	0.518148292020493	0.2	0.677779464321017	-1.1	0.0374433309908355
ENSG00000007545	CRAMP1	-0.7	0.24515106219115	-0.1	0.86327961988577	-1.4	2.45521907659835E-4
ENSG00000007866	TEAD3	-2.1	5.52441324855319E-5	-2.6	3.33621750744029E-13	-1.9	8.79139217382821E-9
ENSG00000007908	SELE	-6.4	1.25467191250979E-16	-6.8	6.13162846571598E-25	-8.2	1.51626218013133E-39
ENSG00000007923	DNAJC11	0.2	0.647534018909962	0.5	0.268555412412909	0.2	0.634841625099789
ENSG00000007933	FMO3	3.2	6.35580614477906E-4	-0.2	0.744417845743695	2.1	0.0406141292131444
ENSG00000007944	MYLIP	-1.7	1.46842232821588E-4	-1.8	1.16511330315276E-5	-2.5	4.0555136072012E-10
ENSG00000007952	NOX1	1.9	0.099045071172916	1.4	0.147149509036406	2.3	0.0170388699255812
ENSG00000007968	E2F2	2.8	1.079041017045E-5	1.5	0.0389719011045289	2.4	2.59747707098796E-5
ENSG00000008018	PSMB1	-0.2	0.660453727616835	-0.2	0.7916985547806	-0.2	0.639337790237969
ENSG00000008056	SYN1	-1.6	0.172089632675171	1.3	0.254774626865995	-0.9	0.268006222002001
ENSG00000008083	JARID2	0.5	0.351201693472303	-0.5	0.209538545352772	0.1	0.910600748311379
ENSG00000008086	CDKL5	1.2	0.0756892115072709			0.8	0.199780031199417
ENSG00000008118	CAMK1G	-1.8	0.0290977308107533	-0.9	0.171458349285513	0.1	0.884708795948438
ENSG00000008128	CDK11A	-1.8	0.0462071061462299	-2.2	0.00172418384407266	-2.8	2.76468429650599E-4
ENSG00000008130	NADK	-0.2	0.739594765797434	0.1	0.790848665731101	-0.3	0.436630923561379
ENSG00000008196	TFAP2B	1.2	0.456538332707221	0.1	0.953039808655257	-0.4	0.78783373978098
ENSG00000008197	TFAP2D			3.8	0.00847222756614783	4.4	0.00400171555235628
ENSG00000008226	DLEC1	0.1	0.858514312525482	1.3	0.0126169105769558	1.8	6.23284531500177E-4
ENSG00000008256	CYTH3	-1.2	0.0327572642991056	-0.5	0.332119428107036	-0.6	0.153167469995833
ENSG00000008277	ADAM22	1.9	0.00787676387400886	1.5	1.81286250944233E-4	1.4	0.0112757178837895
ENSG00000008282	SYPL1	-0.1	0.90318163100058	-1.0	0.0205169626613227	-0.9	0.0377824159741551
ENSG00000008283	CYB561	0.7	0.370580693306239	0.8	0.0639034181615418	0.3	0.419501815049317
ENSG00000008294	SPAG9	-0.3	0.753133325403634	-1.2	7.53460671880951E-4	-1.2	0.00516100963344419
ENSG00000008300	CELSR3	0.5	0.497374055559033	2.1	0.00140028514076134	0.2	0.705237739731296
ENSG00000008311	AASS	-1.1	0.0904453802007643	-0.9	0.0107498647687439	-1.4	8.88903469677503E-4
ENSG00000008323	PLEKHG6	-0.8	0.199683014975393	-1.9	2.11027489231435E-7	-1.4	0.00505839595031256
ENSG00000008324	SS18L2	0.5	0.511653305321787	-0.1	0.860155868722979	0.2	0.656807603782046
ENSG00000008382	MPND	-1.4	0.00969404036858953	-0.2	0.766341872689155	-1.5	0.00480759114668354
ENSG00000008394	MGST1	-0.2	0.768736207158952	-0.2	0.695942704466193		
ENSG00000008405	CRY1	-2.5	8.12016748390996E-9	-2.6	6.18480198402703E-10	-2.6	4.05323796687349E-18
ENSG00000008438	PGLYRP1	1.7	0.378574637730876	2.9	0.023371032082159	3.3	0.0128383192779124
ENSG00000008441	NFIX			-2.4	1.80330500175808E-7	-0.9	0.152423677242889
ENSG00000008513	ST3GAL1	0.1	0.897804242354899	-0.1	0.838361197358168	0.1	0.915075000112204
ENSG00000008516	MMP25	-0.3	0.699047061264137	-0.5	0.611024359514535	-1.0	0.176526775514733
ENSG00000008517	IL32	-1.8	0.0101949394547691	-1.8	6.88995686151807E-5	-0.5	0.441055758969509
ENSG00000008710	PKD1	-1.1	0.00460672523996356	-0.6	0.150234386187315	-0.8	0.116218945178108
ENSG00000008735	MAPK8IP2	1.3	0.186011230648406	2.8	3.0181540975428E-4	1.8	0.0525549561868991
ENSG00000008838	MED24	0.3	0.773184029348481	-1.1	0.00859524873120704	-0.9	0.124752179076215
ENSG00000008853	RHOBTB2	-0.6	0.313378059692286	-0.3	0.414895534366293	-0.6	0.108356605432432
ENSG00000008869	HEATR5B	1.0	0.00162689389969749	0.8	0.0466346786151214		
ENSG00000008952	SEC62			0.3	0.540931072704954	0.1	0.819342692124511
ENSG00000008988	RPS20	-1.3	0.00145008094548767	-1.7	2.56012017631867E-7	-1.1	0.0189061036416237
ENSG00000009307	CSDE1	-0.8	0.00931150202061558	-0.9	9.63606717804278E-4	-0.5	0.204708254191154
ENSG00000009335	UBE3C	0.9	0.0647111570644702	0.4	0.235377315404078	0.8	0.0888464479156957
ENSG00000009413	REV3L	1.0	0.0535230278330109			0.3	0.566198411543758
ENSG00000009694	TENM1	0.6	0.520969852635119	-0.5	0.392914874742284	-0.4	0.527433406661282
ENSG00000009709	PAX7	3.8	0.0268512732998822	4.9	1.06972819500029E-4	6.2	1.70613972270571E-5
ENSG00000009724	MASP2			-0.2	0.702360884584916	-0.1	0.844007486149984
ENSG00000009765	IYD	4.3	0.0109840331830658	1.5	0.120323127175007		
ENSG00000009780	FAM76A	0.5	0.242939091608615	0.9	0.0114703076176504	0.7	0.0350662803563558
ENSG00000009790	TRAF3IP3	3.5	3.17085325233094E-10	2.2	1.83344711300878E-8	3.5	1.040867022385E-14
ENSG00000009830	POMT2	-0.9	0.0255443293032341	-0.8	0.0200034990743012	-0.6	0.0795709423315491
ENSG00000009844	VTA1	0.7	0.042774723544735	0.8	0.128470809615684	0.4	0.322404258645016
ENSG00000009950	MLXIPL	-1.7	0.0933042738832726	0.1	0.883417710134342	-0.2	0.822026095485144
ENSG00000009954	BAZ1B	0.7	0.149476863431291	-0.1	0.910645751888428	0.4	0.359722687305268
ENSG00000010017	RANBP9	0.4	0.336757811168629	-0.2	0.70888265515902	-0.5	0.192355569947704
ENSG00000010030	ETV7	1.3	0.136176367135306	0.4	0.504417555256727	2.2	0.00349000023594844
ENSG00000010072	SPRTN	1.4	0.00331112714181622	0.3	0.501093838311774	0.6	0.121876304331572
ENSG00000010165	EEF1AKNMT	0.9	0.123528837286649	1.1	0.0130511688091758	1.3	0.0211808893350073
ENSG00000010219	DYRK4	0.6	0.240727700777896	0.6	0.156037439394304	1.1	0.00932995741589883
